"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","2013-09","2111",,,"47",,,,"103","21",,,"73.6","85.2","62.0"
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","2013-10","2220",,,"46",,,,"89","71",,,"66.9","77.3","56.5"
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","2013-11","2228",,,"39",,,,"79","259",,,"59.0","67.8","50.2"
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","2013-12","2228",,,"25",,,,"76","685",,,"51.2","61.7","40.8"
"USC00049099","TWENTYNINE PALMS, CA US","34.128","-116.0369","602.0","2013-09","3497",,,"51",,,"0.44","104","0","0.57",,"81.7","95.2","68.1"
"USC00049099","TWENTYNINE PALMS, CA US","34.128","-116.0369","602.0","2013-10","3602",,,"43",,,"0.00","92","39","0.00",,"67.1","81.2","53.0"
"USC00049099","TWENTYNINE PALMS, CA US","34.128","-116.0369","602.0","2013-11","3611",,,"40",,,"0.73","83","216","0.74",,"59.4","72.4","46.4"
"USC00049099","TWENTYNINE PALMS, CA US","34.128","-116.0369","602.0","2013-12","3611",,,"29",,,"0.03","75","592","0.04",,"52.9","65.5","40.2"
"USR0000CRDR","READER RANCH CALIFORNIA, CA US","39.3036","-121.1172","599.8","2013-09","1374",,,"44",,,,"99","37",,,"69.7","82.5","56.9"
"USR0000CRDR","READER RANCH CALIFORNIA, CA US","39.3036","-121.1172","599.8","2013-10","1392",,,"38",,,,"85","159",,,"61.6","75.1","48.2"
"USR0000CRDR","READER RANCH CALIFORNIA, CA US","39.3036","-121.1172","599.8","2013-11","1392",,,"35",,,,"77","445",,,"55.5","67.1","43.9"
"USR0000CRDR","READER RANCH CALIFORNIA, CA US","39.3036","-121.1172","599.8","2013-12","1392",,,"20",,,,"70","970",,,"48.1","59.2","36.9"
