"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","2020-05","315",,,"47",,,,"100","2070",,,"70.0","81.1","58.9"
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","2020-06","727",,,"51",,,,"111","2080",,,"78.4","90.6","66.2"
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","2020-07","1356",,,"63",,,,"108","0",,,"85.3","98.1","72.5"
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","2020-08","1978",,,"60",,,,"108","0",,,"85.0","96.5","73.7"
"USC00049099","TWENTYNINE PALMS, CA US","34.128","-116.0369","602.0","2020-05","555",,,"55",,,"0.00","106","1594","0.00",,"78.5","93.0","64.0"
"USC00049099","TWENTYNINE PALMS, CA US","34.128","-116.0369","602.0","2020-06","1148",,,"56",,,"0.00","107","1594","0.00",,"84.8","99.4","70.1"
"USC00049099","TWENTYNINE PALMS, CA US","34.128","-116.0369","602.0","2020-07","1952",,,"70",,,"0.00","114","0","0.00",,"90.9","105.6","76.3"
"USC00049099","TWENTYNINE PALMS, CA US","34.128","-116.0369","602.0","2020-08","2829",,,"68",,,"0.03","113","0","0.03",,"93.3","107.2","79.3"
"USR0000CRDR","READER RANCH CALIFORNIA, CA US","39.3036","-121.1172","599.8","2020-05","134",,,"44",,,,"100","2694",,,"65.4","78.7","52.0"
"USR0000CRDR","READER RANCH CALIFORNIA, CA US","39.3036","-121.1172","599.8","2020-06","405",,,"42",,,,"105","2716",,,"73.3","88.7","57.8"
"USR0000CRDR","READER RANCH CALIFORNIA, CA US","39.3036","-121.1172","599.8","2020-07","875",,,"56",,,,"103","0",,,"80.2","96.6","63.8"
"USR0000CRDR","READER RANCH CALIFORNIA, CA US","39.3036","-121.1172","599.8","2020-08","1398",,,"58",,,,"108","0",,,"81.9","97.6","66.2"
"USR0000CABS","ARBUCKLE BASIN CALIFORNIA, CA US","40.3983","-122.8333","579.1","2020-05","120",,,"40",,,,"93","3045",,,"62.9","73.0","52.8"
"USR0000CABS","ARBUCKLE BASIN CALIFORNIA, CA US","40.3983","-122.8333","579.1","2020-06","399",,,"43",,,,"104","3098",,,"72.5","83.7","61.4"
"USR0000CABS","ARBUCKLE BASIN CALIFORNIA, CA US","40.3983","-122.8333","579.1","2020-07","892",,,"57",,,,"100","0",,,"80.9","92.5","69.3"
"USR0000CABS","ARBUCKLE BASIN CALIFORNIA, CA US","40.3983","-122.8333","579.1","2020-08","1427",,,"62",,,,"100","0",,,"82.2","92.1","72.4"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2020-05",,,,"53",,,"0.13","89",,"0.15",,"65.6","74.9","56.2"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2020-06",,,,"55",,,"0.02","96",,"0.02",,"67.9","76.9","59.0"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2020-07",,,,"55",,,"0.02","86","0","0.02",,"68.0","77.0","58.9"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2020-08",,,,"55",,,"0.00","94","0","0.00",,"69.9","78.7","61.1"
"USC00042214","CULVER CITY, CA US","34.005","-118.4139","28.0","2020-05","93",,,"52",,,"0.15","85","1106","0.15",,"66.2","74.4","58.1"
"USC00042214","CULVER CITY, CA US","34.005","-118.4139","28.0","2020-06","223",,,"58",,,"0.00","94","1106","0.00",,"69.3","76.5","62.1"
"USC00042214","CULVER CITY, CA US","34.005","-118.4139","28.0","2020-07","353",,,"58",,,"0.00","83","0","0.00",,"69.2","77.2","61.1"
"USC00042214","CULVER CITY, CA US","34.005","-118.4139","28.0","2020-08","593",,,"57",,,"0.00","94","0","0.00",,"72.8","80.6","64.9"
"USR0000CGOR","GORDON CALIFORNIA, CA US","40.7586","-120.8961","1889.8","2020-05","3",,,"26",,,,"84","6943",,,"49.6","63.7","35.6"
"USR0000CGOR","GORDON CALIFORNIA, CA US","40.7586","-120.8961","1889.8","2020-06","37",,,"25",,,,"90","7219",,,"56.9","72.7","41.1"
