"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","2012-05","251",,,"47",,,,"101","2391",,,"70.1","82.5","57.7"
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","2012-06","568",,,"49",,,,"104","2415",,,"74.8","87.0","62.5"
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","2012-07","1104",,,"54",,,,"105","1",,,"82.3","94.7","69.9"
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","2012-08","1746",,,"59",,,,"110","1",,,"85.7","98.4","73.0"
"USC00049099","TWENTYNINE PALMS, CA US","34.128","-116.0369","602.0","2012-05","602",,,"51",,,"0.00","101","1616","0.00",,"78.7","92.1","65.2"
"USC00049099","TWENTYNINE PALMS, CA US","34.128","-116.0369","602.0","2012-06","1185",,,"59",,,"0.00","105","1616","0.00",,"84.4","99.0","69.8"
"USC00049099","TWENTYNINE PALMS, CA US","34.128","-116.0369","602.0","2012-07","1895",,,"65",,,"0.30","111","0","0.40",,"87.9","100.3","75.5"
"USC00049099","TWENTYNINE PALMS, CA US","34.128","-116.0369","602.0","2012-08","2662",,,"70",,,"0.40","109","0","0.80",,"89.7","101.1","78.3"
"USR0000CRDR","READER RANCH CALIFORNIA, CA US","39.3036","-121.1172","599.8","2012-05","87",,,"41",,,,"91","3024",,,"64.2","77.4","50.9"
"USR0000CRDR","READER RANCH CALIFORNIA, CA US","39.3036","-121.1172","599.8","2012-06","271",,,"43",,,,"100","3076",,,"69.4","84.1","54.8"
"USR0000CRDR","READER RANCH CALIFORNIA, CA US","39.3036","-121.1172","599.8","2012-07","641",,,"49",,,,"103","3",,,"76.8","92.8","60.9"
"USR0000CRDR","READER RANCH CALIFORNIA, CA US","39.3036","-121.1172","599.8","2012-08","1119",,,"56",,,,"106","3",,,"80.4","96.5","64.4"
"USR0000CTHS","THOUSAND OAKS CALIFORNIA, CA US","34.21","-118.87","242.3","2012-05","69",,,"46",,,,"82","1778",,,"61.9","71.6","52.2"
"USR0000CTHS","THOUSAND OAKS CALIFORNIA, CA US","34.21","-118.87","242.3","2012-06","82",,,"50",,,,"81","1830",,,"63.7","72.5","54.9"
"USR0000CTHS","THOUSAND OAKS CALIFORNIA, CA US","34.21","-118.87","242.3","2012-07","153",,,"50",,,,"88","20",,,"66.6","76.6","56.7"
"USR0000CTHS","THOUSAND OAKS CALIFORNIA, CA US","34.21","-118.87","242.3","2012-08","419",,,"57",,,,"93","20",,,"73.6","83.6","63.5"
"USR0000CABS","ARBUCKLE BASIN CALIFORNIA, CA US","40.3983","-122.8333","579.1","2012-05","91",,,"41",,,,"95","3391",,,"63.3","73.7","52.8"
"USR0000CABS","ARBUCKLE BASIN CALIFORNIA, CA US","40.3983","-122.8333","579.1","2012-06","261",,,"42",,,,"99","3475",,,"68.1","79.7","56.4"
"USR0000CABS","ARBUCKLE BASIN CALIFORNIA, CA US","40.3983","-122.8333","579.1","2012-07","657",,,"50",,,,"98","9",,,"77.5","88.4","66.5"
"USR0000CABS","ARBUCKLE BASIN CALIFORNIA, CA US","40.3983","-122.8333","579.1","2012-08","1163",,,"59",,,,"105","9",,,"81.3","91.5","71.2"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2012-05","22",,,"50",,,"0.00","85",,"0.00",,"63.3","72.2","54.4"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2012-06","38",,,"54",,,"0.00","78",,"0.00",,"64.6","72.0","57.3"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2012-07","72",,,"54",,,"0.00","81","14","0.00",,"65.7","73.7","57.6"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2012-08","208",,,"56",,,"0.00","85","14","0.00",,"69.4","78.3","60.5"
"USC00042214","CULVER CITY, CA US","34.005","-118.4139","28.0","2012-05","25",,,"38",,,"0.00","76",,"0.00",,"62.9","70.7","55.1"
"USC00042214","CULVER CITY, CA US","34.005","-118.4139","28.0","2012-06","51",,,"53",,,"0.00","76",,"0.00",,"65.8","72.5","59.1"
