"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","2013-05","286",,,"47",,,,"95","2044",,,"70.3","81.1","59.6"
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","2013-06","714",,,"57",,,,"109","2048",,,"79.1","91.6","66.6"
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","2013-07","1354",,,"61",,,,"114","0",,,"85.6","98.4","72.9"
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","2013-08","1832",,,"59",,,,"106","0",,,"80.4","92.0","68.8"
"USC00049099","TWENTYNINE PALMS, CA US","34.128","-116.0369","602.0","2013-05","696",,,"53",,,"0.00","102",,"0.00",,"77.6","91.8","63.4"
"USC00049099","TWENTYNINE PALMS, CA US","34.128","-116.0369","602.0","2013-06","1387","0","0","65","0","0.0","0.00","117",,"0.00","0.0","88.0","103.7","72.4"
"USC00049099","TWENTYNINE PALMS, CA US","34.128","-116.0369","602.0","2013-07","2254",,,"73",,,"0.11","117","0","0.24",,"93.0","105.4","80.5"
"USC00049099","TWENTYNINE PALMS, CA US","34.128","-116.0369","602.0","2013-08","2997",,,"68",,,"0.34","108","0","0.61",,"89.0","102.1","75.9"
"USR0000CRDR","READER RANCH CALIFORNIA, CA US","39.3036","-121.1172","599.8","2013-05","117",,,"36",,,,"91","2798",,,"65.3","78.3","52.3"
"USR0000CRDR","READER RANCH CALIFORNIA, CA US","39.3036","-121.1172","599.8","2013-06","373",,,"47",,,,"106","2813",,,"73.0","87.4","58.7"
"USR0000CRDR","READER RANCH CALIFORNIA, CA US","39.3036","-121.1172","599.8","2013-07","861",,,"57",,,,"105","0",,,"80.7","96.0","65.5"
"USR0000CRDR","READER RANCH CALIFORNIA, CA US","39.3036","-121.1172","599.8","2013-08","1197",,,"55",,,,"100","0",,,"75.8","90.8","60.8"
"USR0000CABS","ARBUCKLE BASIN CALIFORNIA, CA US","40.3983","-122.8333","579.1","2013-05","105",,,"37",,,,"88","3031",,,"63.6","74.0","53.2"
"USR0000CABS","ARBUCKLE BASIN CALIFORNIA, CA US","40.3983","-122.8333","579.1","2013-06","369",,,"48",,,,"105","3059",,,"72.9","84.8","61.0"
"USR0000CABS","ARBUCKLE BASIN CALIFORNIA, CA US","40.3983","-122.8333","579.1","2013-07","895",,,"62",,,,"104","0",,,"82.0","92.3","71.6"
"USR0000CABS","ARBUCKLE BASIN CALIFORNIA, CA US","40.3983","-122.8333","579.1","2013-08","1256",,,"59",,,,"100","0",,,"76.6","86.4","66.8"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2013-05","66",,,"52",,,"0.06","92","1511","0.06",,"65.7","74.4","57.0"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2013-06","114",,,"54",,,"0.02","83","1528","0.04",,"66.0","73.4","58.7"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2013-07","207",,,"55",,,"0.01","81","2","0.01",,"67.9","75.5","60.3"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2013-08","245",,,"52",,,"0.00","88","13","0.00",,"66.5","75.1","57.9"
"USC00042214","CULVER CITY, CA US","34.005","-118.4139","28.0","2013-05","57","0","0","53","0","0.0","0.56","89","1268","0.81","0.0","66.3","74.0","58.6"
